date_and_time,PM2.5,O3,TEMPERATURE,PRESSURE,DEWPOINT,RAIN
2019-01-01 00:00:00,0.09857723577235773,0.0,0.06015037593984962,0.8145454545454598,0.2430769230769231,0.0
2019-01-01 01:00:00,0.11483739837398374,0.0,0.11278195488721804,0.8472727272727312,0.2430769230769231,0.0
2019-01-01 02:00:00,0.13719512195121952,0.00847457627118644,0.15037593984962405,0.8800000000000026,0.26461538461538464,0.0
2019-01-01 03:00:00,0.1788617886178862,0.03389830508474576,0.2857142857142857,0.9090909090909136,0.33230769230769236,0.0
2019-01-01 04:00:00,0.19715447154471546,0.1610169491525424,0.39473684210526316,0.9163636363636343,0.25230769230769234,0.0
2019-01-01 05:00:00,0.1280487804878049,0.2796610169491526,0.4436090225563909,0.9054545454545462,0.26769230769230773,0.0
2019-01-01 06:00:00,0.0619918699186992,0.3474576271186441,0.48120300751879697,0.8727272727272748,0.2861538461538462,0.0
2019-01-01 07:00:00,0.04065040650406505,0.39830508474576276,0.49624060150375937,0.8290909090909082,0.3138461538461539,0.0
2019-01-01 08:00:00,0.0386178861788618,0.4406779661016949,0.5,0.7854545454545487,0.32923076923076927,0.0
2019-01-01 09:00:00,0.06707317073170732,0.4322033898305085,0.4849624060150376,0.7709090909090932,0.34461538461538466,0.0
2019-01-01 10:00:00,0.0467479674796748,0.35593220338983056,0.4586466165413533,0.7818181818181884,0.36000000000000004,0.0
2019-01-01 11:00:00,0.037601626016260166,0.28813559322033905,0.39097744360902253,0.7927272727272765,0.49230769230769234,0.0
2019-01-01 12:00:00,0.05081300813008131,0.22033898305084745,0.33458646616541354,0.7963636363636368,0.35692307692307695,0.0
2019-01-01 13:00:00,0.09146341463414634,0.08474576271186442,0.3157894736842105,0.8254545454545479,0.34461538461538466,0.0
2019-01-01 14:00:00,0.09044715447154472,0.1016949152542373,0.3308270676691729,0.8581818181818193,0.3015384615384616,0.0
2019-01-01 15:00:00,0.11382113821138212,0.06779661016949153,0.3120300751879699,0.8800000000000026,0.3076923076923077,0.0
2019-01-01 16:00:00,0.08739837398373984,0.08474576271186442,0.2293233082706767,0.8909090909090978,0.33230769230769236,0.0
2019-01-01 17:00:00,0.14329268292682928,0.00847457627118644,0.16917293233082709,0.8981818181818184,0.3384615384615385,0.0
2019-01-01 18:00:00,0.14227642276422767,0.0,0.15789473684210525,0.8981818181818184,0.3384615384615385,0.0
2019-01-01 19:00:00,0.12601626016260165,0.0,0.14661654135338345,0.8836363636363629,0.33230769230769236,0.0
2019-01-01 20:00:00,0.08333333333333334,0.00847457627118644,0.14285714285714285,0.8690909090909145,0.32923076923076927,0.0
2019-01-01 21:00:00,0.06808943089430894,0.01694915254237288,0.14285714285714285,0.8327272727272756,0.32,0.0
2019-01-01 22:00:00,0.06605691056910569,0.01694915254237288,0.13157894736842105,0.8145454545454598,0.3076923076923077,0.0
2019-01-01 23:00:00,0.08028455284552846,0.00847457627118644,0.10150375939849623,0.8036363636363646,0.2984615384615385,0.0
2019-01-02 00:00:00,0.08028455284552846,0.0,0.045112781954887216,0.8254545454545479,0.3046153846153846,0.0
2019-01-02 01:00:00,0.08536585365853659,0.0,0.03759398496240601,0.8472727272727312,0.2830769230769231,0.0
2019-01-02 02:00:00,0.12296747967479675,0.00847457627118644,0.08270676691729323,0.8909090909090978,0.2707692307692308,0.0
2019-01-02 03:00:00,0.14430894308943093,0.03389830508474576,0.26691729323308266,0.9272727272727295,0.34153846153846157,0.0
2019-01-02 04:00:00,0.19512195121951223,0.14406779661016952,0.39097744360902253,0.941818181818185,0.22769230769230772,0.0
2019-01-02 05:00:00,0.1351626016260163,0.28813559322033905,0.4473684210526315,0.8981818181818184,0.24000000000000002,0.0
2019-01-02 06:00:00,0.09146341463414634,0.3813559322033898,0.49248120300751874,0.8436363636363637,0.23692307692307696,0.0
2019-01-02 07:00:00,0.04471544715447155,0.3898305084745763,0.5112781954887218,0.7963636363636368,0.22461538461538463,0.0
2019-01-02 08:00:00,0.0386178861788618,0.39830508474576276,0.49248120300751874,0.7672727272727258,0.2707692307692308,0.0
2019-01-02 09:00:00,0.0386178861788618,0.3050847457627119,0.4586466165413533,0.7672727272727258,0.33230769230769236,0.0
2019-01-02 10:00:00,0.03150406504065041,0.2542372881355932,0.4285714285714286,0.7745454545454535,0.34461538461538466,0.0
2019-01-02 11:00:00,0.037601626016260166,0.22033898305084745,0.3684210526315789,0.778181818181821,0.48923076923076925,0.0
2019-01-02 12:00:00,0.04573170731707318,0.17796610169491528,0.37593984962406013,0.8000000000000043,0.2984615384615385,0.0
2019-01-02 13:00:00,0.07317073170731707,0.07627118644067797,0.3533834586466165,0.8218181818181804,0.316923076923077,0.0
2019-01-02 14:00:00,0.09552845528455285,0.059322033898305086,0.3308270676691729,0.8472727272727312,0.3261538461538462,0.0
2019-01-02 15:00:00,0.1280487804878049,0.03389830508474576,0.2593984962406015,0.8581818181818193,0.34153846153846157,0.0
2019-01-02 16:00:00,0.11585365853658537,0.04237288135593221,0.18796992481203006,0.8509090909090915,0.34153846153846157,0.0
2019-01-02 17:00:00,0.07825203252032521,0.07627118644067797,0.16541353383458646,0.8545454545454589,0.3261538461538462,0.0
2019-01-02 18:00:00,0.07520325203252033,0.04237288135593221,0.15037593984962405,0.8472727272727312,0.3230769230769231,0.0
2019-01-02 19:00:00,0.07926829268292683,0.00847457627118644,0.14285714285714285,0.8363636363636431,0.316923076923077,0.0
2019-01-02 20:00:00,0.07113821138211382,0.025423728813559324,0.13157894736842105,0.8072727272727249,0.3046153846153846,0.0
